Simulation,Reward,Base Fee,Generated Amount,Network Usage,Total Supply
1,22.242642783939555,9.042280791137884,13.200361992801671,32.669123164551536,100000013.200362
2,22.3346672961327,9.438085144656785,12.896582151475915,34.25234057862714,100000026.09694415
3,22.206405263170616,8.886420486755338,13.319984776415279,32.04568194702135,100000039.41692893
4,23.13358094145602,12.874272866477504,10.259308074978517,47.99709146591002,100000049.676237
5,22.619395058681476,10.662720682500975,11.956674376180501,39.1508827300039,100000061.63291138
6,23.011819476904392,12.350567642599549,10.661251834304844,45.902270570398194,100000072.29416321
7,23.020608402619168,12.388369473630828,10.63223892898834,46.05347789452331,100000082.92640214
8,23.152234564609227,12.954503503695609,10.197731060913618,48.318014014782435,100000093.1241332
9,23.38952349957338,13.975101073433885,9.414422426139494,52.400404293735534,100000102.53855562
10,24.265873953466386,17.74435033748983,6.521523615976555,67.47740134995932,100000109.06007923
11,23.406832253641134,14.049547327488757,9.357284926152378,52.698189309955026,100000118.41736417
12,23.861598565473756,16.005531464403266,7.85606710107049,60.52212585761306,100000126.27343127
13,23.707090149993558,15.340979139757238,8.36611101023632,57.86391655902895,100000134.63954228
14,22.75602667690764,11.25038355659201,11.505643120315632,41.50153422636804,100000146.1451854
15,23.698785418308887,15.305259863694157,8.39352555461473,57.72103945477664,100000154.53871095
16,22.835365317920047,11.59162502331203,11.243740294608017,42.86650009324812,100000165.78245124
17,22.51893556404523,10.230636834603146,12.288298729442083,37.422547338412585,100000178.07074997
18,23.337333572558812,13.750628269070148,9.586705303488664,51.5025130762806,100000187.65745527
19,23.8710277869716,16.046087255791836,7.824940531179763,60.684349023167336,100000195.4823958
20,23.44227332806422,14.201982056190198,9.240291271874023,53.30792822476079,100000204.72268707
21,22.6059056136698,10.604701564171194,12.001204049498607,38.918806256684775,100000216.72389111
22,23.175272195781368,13.053590089382238,10.12168210639913,48.71436035752895,100000226.84557322
23,23.610109941179616,14.923859962062874,8.686249979116742,56.195439848251496,100000235.5318232
24,22.846758610737364,11.640628433278987,11.206130177458377,43.06251373311595,100000246.73795338
25,23.706855327729443,15.33996915152448,8.366886176204963,57.85987660609791,100000255.10483956
26,23.691119734701015,15.272289181509759,8.418830553191256,57.589156726039036,100000263.52367012
27,23.546480217535407,14.650183731335096,8.896296486200312,55.100734925340376,100000272.41996661
28,22.665045176244718,10.859065274170828,11.80597990207389,39.93626109668331,100000284.22594652
29,23.6988320032707,15.3054602291213,8.393371774149399,57.7218409164852,100000292.61931829
30,22.69098833312259,10.970648744613309,11.720339588509281,40.382594978453234,100000304.33965787
31,23.26106862181765,13.422606975559795,9.838461646257855,50.19042790223918,100000314.17811953
32,24.296402076991424,17.87565409458677,6.420747982404652,68.00261637834708,100000320.5988675
33,23.094989927025132,12.708290008710254,10.386699918314878,47.333160034841015,100000330.98556742
34,23.31013366035425,13.633639399373124,9.676494260981126,51.034557597492494,100000340.66206168
35,23.33687975749375,13.748676376317235,9.588203381176516,51.49470550526893,100000350.25026506
36,23.705288093755716,15.333228360239655,8.37205973351606,57.83291344095862,100000358.6223248
37,23.802002491626688,15.749204265061035,8.052798226565653,59.49681706024415,100000366.67512302
38,24.290764484580958,17.851406385294453,6.439358099286505,67.90562554117781,100000373.11448112
39,23.510457157607448,14.495245839171824,9.015211318435624,54.4809833566873,100000382.12969244
40,22.728874877073324,11.133601621820764,11.59527325525256,41.03440648728306,100000393.72496569
41,22.895027686543212,11.848237361476198,11.046790325067015,43.89294944590479,100000404.77175602
42,23.612089692152235,14.932375020009605,8.67971467214263,56.22950008003842,100000413.45147069
43,22.239283976583483,9.027834307885946,13.211449668697536,32.611337231543786,100000426.66292036
44,23.1464612068927,12.929671857603001,10.216789349289698,48.218687430412004,100000436.8797097
45,23.962771491636676,16.440683834996452,7.522087656640224,62.26273533998581,100000444.40179737
46,23.47260612518403,14.332445699716265,9.140160425467764,53.829782798865054,100000453.5419578
47,22.706437092230235,11.037095020345113,11.669342071885122,40.64838008138045,100000465.21129987
48,23.32319616989343,13.689822236100785,9.633373933792644,51.25928894440314,100000474.8446738
49,23.049764608209045,12.513772508426023,10.535992099783023,46.55509003370409,100000485.3806659
